"zip","city","county","pop"
"24162","Shawsville","Montgomery","2381"
"22644","Maurertown","Shenandoah","2376"
"24067","Callaway","Franklin","2368"
"24467","Mount Sidney","Augusta","2363"
"24631","Oakwood","Buchanan","2334"
"22937","Esmont","Albemarle","2320"
"24271","Nickelsville","Scott","2319"
"24571","Lynch Station","Campbell","2310"
"20117","Middleburg","Loudoun","2295"
"22846","Penn Laird","Rockingham","2291"
"23966","Rice","Prince Edward","2286"
"24225","Cleveland","Russell","2283"
"24520","Alton","Halifax","2261"
"24593","Spout Spring","Appomattox","2260"
"24133","Patrick Springs","Patrick","2258"
"23062","Gloucester Point","Gloucester","2246"
"24555","Glasgow","Rockbridge","2245"
"22539","Reedville","Northumberland","2234"
"23173","University Of Richmond","Richmond City","2227"
"23833","Church Road","Dinwiddie","2216"
"22514","Milford","Caroline","2195"
"23898","Zuni","Isle Of Wight","2190"
"22922","Arrington","Nelson","2145"
"24085","Eagle Rock","Botetourt","2139"
"23882","Stony Creek","Sussex","2136"
"23308","Bloxom","Accomack","2133"
"24283","St. Paul","Wise","2130"
"23891","Waverly","Sussex","2112"
"22724","Jeffersonton","Culpeper","2102"
"23109","Mathews","Mathews","2084"
"23883","Surry","Surry","2065"
"24529","Buffalo Junction","Mecklenburg","2050"
"22967","Roseland","Nelson","2048"
"23043","Deltaville","Middlesex","2036"
"24435","Fairfield","Rockbridge","2028"
"23460","Virginia Beach","Virginia Beach City","2024"
"23881","Spring Grove","Surry","2023"
"23821","Alberta","Brunswick","2016"
"22027","Dunn Loring","Fairfax","2003"
"22958","Nellysford","Nelson","1998"
"23866","Ivor","Southampton","1974"
"24290","Weber City","Scott","1968"
"24243","Dryden","Lee","1948"
"24128","Newport","Giles","1948"
"22660","Toms Brook","Shenandoah","1943"
"23867","Jarratt","Sussex","1930"
"23123","New Canton","Buckingham","1922"
"20198","The Plains","Fauquier","1905"
"23084","Kents Store","Fluvanna","1897"
"22742","Sumerduck","Fauquier","1889"
"24375","Sugar Grove","Smyth","1888"
"23047","Doswell","Hanover","1888"
"22830","Fulks Run","Rockingham","1867"
"22969","Schuyler","Nelson","1866"
"24324","Draper","Pulaski","1853"
"24070","Catawba","Roanoke","1827"
"24079","Copper Hill","Floyd","1817"
"23156","Shacklefords","King And Queen","1811"
"23148","Saint Stephens Church","King And Queen","1799"
"23438","Suffolk","Suffolk City","1795"
"23937","Drakes Branch","Charlotte","1794"
"22952","Lyndhurst","Augusta","1792"
"24471","Port Republic","Rockingham","1791"
"22542","Rhoadesville","Orange","1761"
"22971","Shipman","Nelson","1749"
"24328","Fancy Gap","Carroll","1748"
"22454","Dunnsville","Essex","1746"
"22469","Hague","Westmoreland","1738"
"22610","Bentonville","Warren","1735"
"24472","Raphine","Rockbridge","1722"
"23301","Accomac","Accomack","1721"
"22713","Boston","Culpeper","1721"
"24312","Austinville","Wythe","1678"
"24598","Virgilina","Halifax","1677"
"23954","Meherrin","Prince Edward","1663"
"24069","Cascade","Pittsylvania","1644"
"23806","Petersburg","Petersburg City","1640"
"24347","Hiwassee","Pulaski","1619"
"24138","Pilot","Montgomery","1618"
"23415","New Church","Accomack","1603"
"24594","Sutherlin","Pittsylvania","1600"
"24122","Montvale","Bedford","1600"
"24258","Hiltons","Scott","1577"
"23175","Urbanna","Middlesex","1575"
"23830","Carson","Dinwiddie","1565"
"24102","Henry","Franklin","1552"
"22652","Fort Valley","Shenandoah","1543"
"23960","Prospect","Prince Edward","1541"
"24479","Swoope","Augusta","1539"
"20137","Broad Run","Fauquier","1527"
"23071","Hartfield","Middlesex","1523"
"23035","Cobbs Creek","Mathews","1518"
"23038","Columbia","Goochland","1513"
"22738","Rochelle","Madison","1513"
"23432","Suffolk","Suffolk City","1506"
"23827","Boykins","Southampton","1491"
"24553","Gladstone","Nelson","1489"
"24120","Meadows Of Dan","Patrick","1477"
"24311","Atkins","Smyth","1475"
"23065","Gum Spring","Goochland","1472"
"23459","Virginia Beach","Virginia Beach City","1430"
"24635","Pocahontas","Tazewell","1420"
"24147","Rich Creek","Giles","1418"
"22709","Aroda","Madison","1414"
"22940","Free Union","Albemarle","1406"
"24314","Bastian","Bland","1403"
"24566","Keeling","Pittsylvania","1386"
"22959","North Garden","Albemarle","1380"
"22938","Faber","Nelson","1378"
"23153","Sandy Hook","Goochland","1372"
"22747","Washington","Rappahannock","1367"
"24076","Claudville","Patrick","1362"
"22211","Ft Myer","Arlington","1353"
"23011","Barhamsville","New Kent","1345"
"22460","Farnham","Richmond","1344"
"23410","Melfa","Accomack","1326"
"22729","Mitchells","Culpeper","1312"
"24250","Fort Blackmore","Scott","1309"
"23921","Buckingham","Buckingham","1297"
"24363","Mouth Of Wilson","Grayson","1290"
"23964","Red Oak","Charlotte","1278"
"24526","Big Island","Bedford","1264"
"23442","Temperanceville","Accomack","1263"
"24165","Spencer","Henry","1259"
"24176","Union Hall","Franklin","1257"
"24579","Natural Bridge Station","Rockbridge","1256"
"24465","Monterey","Highland","1239"
"23942","Green Bay","Prince Edward","1239"
"22715","Brightwood","Madison","1230"
"24439","Goshen","Rockbridge","1227"
"23915","Baskerville","Mecklenburg","1215"
"23433","Suffolk","Suffolk City","1214"
"23315","Carrsville","Isle Of Wight","1213"
"23850","Ford","Dinwiddie","1211"
"24534","Clover","Halifax","1208"
"22831","Hinton","Rockingham","1199"
"23959","Phenix","Charlotte","1198"
"23551","Norfolk","Norfolk City","1189"
"23356","Greenbackville","Accomack","1187"
"24460","Millboro","Bath","1182"
"24350","Ivanhoe","Wythe","1179"
"24226","Clinchco","Dickenson","1154"
"24597","Vernon Hill","Halifax","1151"
"23967","Saxe","Charlotte","1137"
"22714","Brandy Station","Culpeper","1133"
"23027","Cartersville","Cumberland","1116"
"22663","White Post","Clarke","1108"
"22850","Singers Glen","Rockingham","1102"
"20144","Delaplane","Fauquier","1086"
"22832","Keezletown","Rockingham","1085"
"24599","Wingina","Nelson","1083"
"23169","Topping","Middlesex","1069"
"22949","Lovingston","Nelson","1066"
"23039","Crozier","Goochland","1056"
"22834","Linville","Rockingham","1055"
"24220","Birchleaf","Dickenson","1049"
"24326","Elk Creek","Grayson","1030"
"22720","Goldvein","Fauquier","1030"
"24072","Check","Floyd","1029"
"24325","Dugspur","Carroll","1020"
"23436","Suffolk","Suffolk City","1019"
"23106","Manquin","King William","1019"
"24378","Trout Dale","Grayson","998"
"23878","Sedley","Southampton","989"
"22623","Chester Gap","Rappahannock","966"
"22935","Dyke","Greene","965"
"23418","Onley","Accomack","963"
"22125","Occoquan","Prince William","955"
"24569","Long Island","Campbell","938"
"23839","Dendron","Surry","936"
"24530","Callands","Pittsylvania","932"
"24578","Natural Bridge","Rockbridge","926"
"23874","Newsoms","Southampton","924"
"23405","Machipongo","Northampton","923"
"24313","Barren Springs","Wythe","917"
"23022","Bremo Bluff","Fluvanna","917"
"22733","Rapidan","Culpeper","917"
"23856","Freeman","Brunswick","907"
